                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56761,                0.39089,                 1.0337,                0.99703,                0.99145,                0.98848,                0.95626,                0.19109,                0.12371,                0.78545,              0.0033331,              0.0033331,              0.0033331
                      2,                 0.3056,                0.21966,                0.88149,                0.99699,                0.99975,                0.99354,                0.98328,                0.13995,                0.10898,                0.77896,              0.0064464,              0.0064464,              0.0064464
                      3,                0.30959,                0.22777,                   0.89,                0.99434,                0.99938,                0.99348,                0.99102,                0.12303,                 0.1031,                0.77371,              0.0093397,              0.0093397,              0.0093397
                      4,                 0.2801,                0.21046,                0.87905,                0.99434,                 0.9998,                0.99353,                0.98592,                0.10123,                0.08712,                0.76689,                0.00901,                0.00901,                0.00901
                      5,                0.22673,                0.17802,                0.85281,                0.99704,                0.99979,                0.99343,                0.99332,                0.08617,                0.06971,                0.76114,                0.00868,                0.00868,                0.00868
                      6,                0.19772,                0.15872,                0.83956,                0.99716,                0.99999,                0.99359,                0.99332,                0.07554,                0.06456,                0.75952,                0.00835,                0.00835,                0.00835
                      7,                0.17959,                 0.1481,                0.83145,                0.99718,                0.99999,                0.99326,                0.99316,                0.06644,                0.05907,                0.75632,                0.00802,                0.00802,                0.00802
                      8,                 0.1643,                0.13883,                0.82478,                0.99706,                0.99999,                0.99335,                0.99333,                0.06219,                0.05676,                0.75441,                0.00769,                0.00769,                0.00769
                      9,                0.15315,                 0.1297,                0.81953,                0.99702,                0.99999,                0.99317,                0.99314,                0.05975,                0.05479,                0.75417,                0.00736,                0.00736,                0.00736
                     10,                0.14415,                 0.1238,                0.81558,                0.99696,                0.99999,                0.99364,                0.99363,                 0.0583,                0.05484,                 0.7534,                0.00703,                0.00703,                0.00703
                     11,                0.13795,                0.11792,                0.81302,                0.99695,                0.99999,                 0.9933,                0.99328,                  0.057,                0.05397,                0.75311,                 0.0067,                 0.0067,                 0.0067
                     12,                0.13261,                0.11418,                0.81096,                0.99697,                0.99999,                0.99335,                0.99332,                0.05709,                0.05222,                0.75381,                0.00637,                0.00637,                0.00637
                     13,                0.12524,                0.10965,                0.80792,                0.99698,                0.99999,                0.99337,                0.99334,                0.05734,                0.05113,                0.75352,                0.00604,                0.00604,                0.00604
                     14,                0.12039,                0.10687,                0.80547,                0.99699,                0.99999,                0.99369,                0.99367,                0.05636,                0.05017,                0.75322,                0.00571,                0.00571,                0.00571
                     15,                0.11545,                0.10208,                0.80395,                0.99701,                0.99999,                0.99352,                 0.9935,                 0.0549,                0.04924,                0.75299,                0.00538,                0.00538,                0.00538
                     16,                  0.112,                0.09975,                0.80234,                0.99711,                0.99999,                 0.9938,                0.99379,                0.05372,                0.04713,                0.75279,                0.00505,                0.00505,                0.00505
                     17,                 0.1084,                 0.0956,                0.80079,                0.99714,                0.99999,                0.99359,                0.99358,                0.05261,                0.04894,                0.75249,                0.00472,                0.00472,                0.00472
                     18,                0.10308,                0.09295,                0.79908,                0.99721,                0.99999,                 0.9935,                 0.9935,                0.05206,                0.04632,                0.75219,                0.00439,                0.00439,                0.00439
                     19,                0.09791,                0.09104,                0.79783,                0.99731,                0.99999,                0.99351,                0.99351,                0.05263,                0.04642,                0.75194,                0.00406,                0.00406,                0.00406
                     20,                 0.0935,                0.08634,                0.79676,                0.99735,                0.99999,                0.99341,                0.99341,                 0.0523,                0.04661,                0.75173,                0.00373,                0.00373,                0.00373
                     21,                0.07567,                0.07267,                0.76216,                0.99739,                0.99999,                0.99356,                0.99356,                 0.0512,                0.04737,                0.75154,                 0.0034,                 0.0034,                 0.0034
                     22,                0.07153,                0.07005,                0.76019,                 0.9974,                0.99999,                 0.9936,                 0.9936,                0.05014,                0.04438,                0.75149,                0.00307,                0.00307,                0.00307
                     23,                 0.0671,                0.06562,                0.76032,                 0.9974,                0.99999,                0.99361,                0.99361,                0.04928,                0.04373,                0.75141,                0.00274,                0.00274,                0.00274
                     24,                0.06443,                0.06239,                0.75896,                 0.9974,                0.99999,                0.99386,                0.99386,                0.04777,                0.04316,                0.75119,                0.00241,                0.00241,                0.00241
                     25,                0.05917,                0.05912,                0.75768,                0.99741,                0.99999,                0.99382,                0.99382,                0.04716,                0.04357,                0.75098,                0.00208,                0.00208,                0.00208
                     26,                0.05541,                0.05499,                0.75781,                0.99741,                0.99999,                0.99379,                0.99379,                0.04687,                0.04345,                0.75109,                0.00175,                0.00175,                0.00175
                     27,                0.05124,                0.05151,                0.75666,                0.99744,                0.99999,                0.99373,                0.99373,                0.04603,                0.04259,                0.75102,                0.00142,                0.00142,                0.00142
                     28,                0.04791,                0.04684,                0.75544,                0.99747,                0.99999,                0.99361,                0.99361,                0.04562,                0.04361,                0.75081,                0.00109,                0.00109,                0.00109
                     29,                0.04432,                0.04276,                0.75495,                0.99747,                0.99999,                0.99373,                0.99373,                0.04475,                0.04181,                0.75081,                0.00076,                0.00076,                0.00076
                     30,                0.04103,                0.03856,                 0.7548,                0.99751,                0.99999,                0.99359,                0.99359,                0.04366,                0.04277,                0.75086,                0.00043,                0.00043,                0.00043
